Code;Désignation;Unité;Prix;Depot Antanankoro;Depot Stock C;Magasin Mahambolona;Total
50018701;BONBON ANGLAIS;PAQUET;27.000;0;0;0;0
80018800;BONBON ASSORTED CARAMEL EN SACHET;SACHET;4.600;0;0;1;1
80018900;Bonbon assorted en sachet;SACHET;3.000;0;0;0;0
80018901;Bonbon assorted en sachet;CARTON;60.000;0;0;0;0
20019000;Bonbon assorted ju-c;BOCAL;12.000;0;0;0;0
80019100;BONBON BIG TIME RICH;PIECES;450;0;0;36;36
80019101;BONBON BIG TIME RICH;BOITE';15.000;0;0;1;1
20019200;BONBON BIZOU COEUR TONGUE;SACHET;3.500;0;0;0;0
20019201;BONBON BIZOU COEUR TONGUE;CARTON;0;0;0;0;0
80019300;BONBON BUBLE GUM PHASTILLIA;SACHET;3.800;0;0;0;0
80019400;Bonbon caffee;SACHET;3.800;0;0;8;8
80019500;BONBON CAR POP TONGUE PAINTER 5G;SACHET;3.500;0;0;10;10
80019600;Bonbon choco gold coin;BOCAL;12.000;0;0;0;0
80019700;BONBON CHOCO MINT 2.0;SACHET;2.200;0;0;0;0
10019800;BONBON CHOCO MOBILE BOCAL;PIESE;200;0;0;0;0
10019801;BONBON CHOCO MOBILE BOCAL;BOCAL;25.000;0;0;0;0
20019900;BONBON COEUR KIDY;SACHET;5.900;0;0;0;0
20019901;BONBON COEUR KIDY;CARTON;0;0;0;0;0
80020000;BONBON COLA COLA LOLLIPOP;SACHET;2.500;0;0;0;0
20020100;BONBON COOKIES BE;SACHET;15.500;0;0;0;0
80020200;BONBON CRAYON BIG TOFFINGER FRUITLAND EN BOCAL;BOCAL;13.500;0;0;3;3
80020300;BONBON DOLLY LOLLY CHOCO;SACHET;3.900;0;0;0;0
20020400;BONBON ECLAIRE POP;SACHET;8.500;0;0;12;12
20020500;BONBON EN PIECE;PIECE;100;0;0;0;0
20020600;Bonbon Erlan;SACHET;0;0;0;0;0
20020601;Bonbon Erlan;SACHET;6.500;0;0;0;0
20020602;Bonbon Erlan;CARTON;140.000;0;0;0;0
20020700;BONBON FLAMINGO;SACHET;15.500;0;0;0;0
80020800;Bonbon freshynes;SACHET;3.200;0;0;6;6
80020900;Bonbon fruit chew toffee bocal;PCS;200;0;0;0;0
80020901;Bonbon fruit chew toffee bocal;BOCAL;17.000;0;0;0;0
80021000;Bonbon fruit chewy 600g;SACHET;11.500;0;0;0;0
80021100;BONBON FRUIT CRUSH VETO ASS 2.65G;BOCAL;13.000;0;0;2;2
80021200;Bonbon fruit flash toffee bocal;PCS;200;0;0;0;0
80021201;Bonbon fruit flash toffee bocal;BOCAL;17.000;0;0;0;0
80021300;Bonbon fruit slice orange;PCS;0;0;0;0;0
80021301;Bonbon fruit slice orange;CARTON;140.000;0;0;0;0
80021302;Bonbon fruit slice orange;SACHET;12.000;0;0;0;0
80021400;BONBON FRUTO FILS;PCS;50;0;0;0;0
80021401;BONBON FRUTO FILS;CARTON;15.000;0;0;0;0
80021402;BONBON FRUTO FILS;SACHET;5.000;0;0;0;0
80021500;BONBON FRUTTA POP LOLLIPOP VETO;SACHET;4.900;0;0;8;8
20021600;BONBON GLASS;SACHET;5.000;0;0;0;0
20021601;BONBON GLASS;CARTON;100.000;0;0;0;0
80021700;Bonbon gold 555 toffee bocal;PCS;200;0;0;0;0
80021701;Bonbon gold 555 toffee bocal;BOCAL;17.000;0;0;0;0
20021800;BONBON GOLDEN COIN CAR EN PIECE;PIECE;200;0;0;0;0
80021900;bonbon huili toy candy;BOITE;14.000;0;0;0;0
20022000;BONBON HUILI TOY CANDY EN PCS;PCS;500;0;0;0;0
80022100;BONBON JOK BE+5;SACHET;4.900;0;0;6;6
20022200;bonbon Jok soda cola;SACHET;2.500;0;0;160;160
